after_follower,birth_date,collaboration,death_date,display_name,first,fullname,irn,last,middle,nationality,organization,party_type,role,ulan:id,ulan:name
,,,,"Hertel, Johann Georg",,"Hertel, Johann Georg",1001,"Hertel, Johann Georg",,,,ULAN,Artist,,"Hertel, Johann Georg"
,1938,,,"Plotkin, Linda",,"Plotkin, Linda",1002,"Plotkin, Linda",,,,ULAN,Artist,,"Plotkin, Linda"
,1620,,1691,"Cuyp, Aelbert",Aelbert,Aelbert Cuyp,1003,Cuyp,,,,ULAN,Artist,,"Cuyp, Aelbert"
,,,,"Thenot, Jean Pierre",,"Thenot, Jean Pierre",1007,"Thenot, Jean Pierre",,,,ULAN,Artist,,"Thenot, Jean Pierre"
,1937,,,"Clarke, John Clem",,"Clarke, John Clem",1009,"Clarke, John Clem",,,,ULAN,Artist,,"Clarke, John Clem"
,1913-1967,,1913-1967,"Reinhardt, Ad",,"Reinhardt, Ad",1012,"Reinhardt, Ad",,,,ULAN,Artist,,"Reinhardt, Ad"
,1686,,1755,"Oudry, Jean-Baptiste",,"Oudry, Jean-Baptiste",1013,"Oudry, Jean-Baptiste",,,,ULAN,Artist,,"Oudry, Jean-Baptiste"
,1861,,1945,"Moll, Carl",,"Moll, Carl",1014,"Moll, Carl",,,,ULAN,Artist,,"Moll, Carl"
,,,,"Gaucherel, Lion",,"Gaucherel, Lion",1015,"Gaucherel, Lion",,,,ULAN,Artist,,"Gaucherel, Lion"
,1758,,1835,"Fittler, James",,"Fittler, James",1016,"Fittler, James",,,,ULAN,Artist,,"Fittler, James"
,1879,,1964,"Roth, Ernest David",,"Roth, Ernest David",1017,"Roth, Ernest David",,,,ULAN,Artist,,"Roth, Ernest David"
,,,,"Haghe, Louis",,"Haghe, Louis",1018,"Haghe, Louis",,,,ULAN,Artist,,"Haghe, Louis"
,1844,,1916,"Eakins, Thomas",Thomas,Thomas Eakins,1019,Eakins,,,,ULAN,Artist,,"Eakins, Thomas"
,1852,,1931,"Cole, Timothy",,"Cole, Timothy",1020,"Cole, Timothy",,,,ULAN,Artist,,"Cole, Timothy"
,1870-1953,,1870-1953,"Marin, John",,"Marin, John",1021,"Marin, John",,,,ULAN,Artist,,"Marin, John"
,1937,,,"Ruscha, Edward",,"Ruscha, Edward",1022,"Ruscha, Edward",,,,ULAN,Artist,,"Ruscha, Edward"
,1864,,,"Califano, John",,"Califano, John",1023,"Califano, John",,,,ULAN,Artist,,"Califano, John"
,1936,,,"Zox, Larry",,"Zox, Larry",1024,"Zox, Larry",,,,ULAN,Artist,,"Zox, Larry"
,1913,,2003,"Fulwider, Edwin",,"Fulwider, Edwin",1025,"Fulwider, Edwin",,,,Registration-Verified,Artist,,
,1914,,,"Fuller, Sue",,"Fuller, Sue",1027,"Fuller, Sue",,,,ULAN,Artist,,"Fuller, Sue"
,1690,,1743,"Lancret, Nicolas",Nicolas,Nicolas Lancret,1029,Lancret,,,,ULAN,Artist,,"Lancret, Nicolas"
,,,,"Roccatagliata, Nicolò",Nicolò,Nicolò Roccatagliata,1030,Roccatagliata,,,,ULAN,Artist,,"Roccatagliata, Nicolò"
,,,,"Lepère, Auguste Louis",,"Lepère, Auguste Louis",1032,"Lepère, Auguste Louis",,,,ULAN,Artist,,"Lepère, Auguste Louis"
,,,,"Fleischmann, Frederick",,"Fleischmann, Frederick",1033,"Fleischmann, Frederick",,,,ULAN,Artist,,"Fleischmann, Frederick"
,1890,,1946,"Eby, Kerr",,"Eby, Kerr",1034,"Eby, Kerr",,,,ULAN,Artist,,"Eby, Kerr"
